testcase,result,"(('compiler', 'clang'), ('executer', 'native'), ('suite', 'llvm'), ('cflags', 'OX'))","(('compiler', 'clang'), ('executer', 'native'), ('suite', 'llvm'), ('cflags', 'O0'))","(('compiler', 'clang'), ('executer', 'native'), ('suite', 'llvm'), ('cflags', 'O1'))",comment
SingleSource/Benchmarks/BenchmarkGame/recursive,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/BenchmarkGame/spectral-norm,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/CoyoteBench/almabench,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/CoyoteBench/fftbench,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/CoyoteBench/huffbench,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/CoyoteBench/lpbench,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Dhrystone/dry,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Dhrystone/fldry,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Linpack/linpack-pc,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/McGill/chomp,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/McGill/exptree,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/McGill/misr,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/McGill/queens,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Misc-C++-EH/spirit,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Misc-C++/Large/ray,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Misc-C++/Large/sphereflake,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Misc-C++/bigfib,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Misc-C++/mandel-text,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Misc-C++/oopack_v1p8,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Misc-C++/stepanov_container,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Misc-C++/stepanov_v1p2,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Misc/ReedSolomon,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Misc/dt,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Misc/fbench,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Misc/ffbench,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Misc/flops,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Misc/flops-1,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Misc/flops-2,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Misc/flops-3,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Misc/flops-4,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Misc/flops-5,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Misc/flops-6,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Misc/flops-7,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Misc/flops-8,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Misc/fp-convert,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Misc/himenobmtxpa,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Misc/lowercase,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Misc/mandel,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Misc/mandel-2,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Misc/matmul_f64_4x4,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Misc/oourafft,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Misc/perlin,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Misc/pi,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Misc/richards_benchmark,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Misc/salsa20,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Misc/whetstone,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Polybench/datamining/correlation/correlation,--,C_FAIL,C_FAIL,C_FAIL,--
SingleSource/Benchmarks/Polybench/datamining/covariance/covariance,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Polybench/linear-algebra/kernels/2mm/2mm,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Polybench/linear-algebra/kernels/3mm/3mm,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Polybench/linear-algebra/kernels/atax/atax,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Polybench/linear-algebra/kernels/bicg/bicg,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Polybench/linear-algebra/kernels/cholesky/cholesky,--,C_FAIL,C_FAIL,C_FAIL,--
SingleSource/Benchmarks/Polybench/linear-algebra/kernels/doitgen/doitgen,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Polybench/linear-algebra/kernels/gemm/gemm,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Polybench/linear-algebra/kernels/gemver/gemver,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Polybench/linear-algebra/kernels/gesummv/gesummv,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Polybench/linear-algebra/kernels/mvt/mvt,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Polybench/linear-algebra/kernels/symm/symm,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Polybench/linear-algebra/kernels/syr2k/syr2k,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Polybench/linear-algebra/kernels/syrk/syrk,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Polybench/linear-algebra/kernels/trisolv/trisolv,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Polybench/linear-algebra/kernels/trmm/trmm,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Polybench/linear-algebra/solvers/durbin/durbin,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Polybench/linear-algebra/solvers/dynprog/dynprog,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Polybench/linear-algebra/solvers/gramschmidt/gramschmidt,--,C_FAIL,C_FAIL,C_FAIL,--
SingleSource/Benchmarks/Polybench/linear-algebra/solvers/lu/lu,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Polybench/medley/floyd-warshall/floyd-warshall,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Polybench/medley/reg_detect/reg_detect,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Polybench/stencils/adi/adi,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Polybench/stencils/fdtd-2d/fdtd-2d,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Polybench/stencils/fdtd-apml/fdtd-apml,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Polybench/stencils/jacobi-1d-imper/jacobi-1d-imper,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Polybench/stencils/jacobi-2d-imper/jacobi-2d-imper,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Polybench/stencils/seidel-2d/seidel-2d,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Shootout-C++/EH/except,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Shootout-C++/ackermann,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Shootout-C++/ary,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Shootout-C++/ary2,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Shootout-C++/ary3,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Shootout-C++/fibo,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Shootout-C++/hash,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Shootout-C++/hash2,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Shootout-C++/heapsort,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Shootout-C++/hello,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Shootout-C++/lists,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Shootout-C++/lists1,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Shootout-C++/matrix,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Shootout-C++/methcall,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Shootout-C++/moments,--,C_FAIL,C_FAIL,C_FAIL,--
SingleSource/Benchmarks/Shootout-C++/nestedloop,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Shootout-C++/objinst,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Shootout-C++/random,--,PASS,PASS,PASS,--
SingleSource/Benchmarks/Shootout-C++/reversefile,--,PASS,PASS,PASS,--
